district,population,latitude,longitude
Lisboa,567.131,38.7077507,-9.1365919
Porto,248.769,41.1494512,-8.6107884
Braga,201.583,41.5510583,-8.4280045
Coimbra,144.822,40.2111931,-8.4294632
Leiria,133.795,39.7437902,-8.8071119
Setúbal,123.548,38.5241783,-8.8932341
Viseu,101.977,40.6574713,-7.9138664
Viana do Castelo,86.78,41.694867,-8.831088
Aveiro,86.037,40.640496,-8.6537841
Faro,69.468,37.0162727,-7.9351771
Santarém,61.009,39.2363637,-8.6867081
Évora,53.937,38.5707742,-7.9092808
Castelo Branco,52.913,39.97675825,-7.446059929966704
Vila Real,49.928,41.5229299,-7.5466312481173325
Guarda,40.011,40.7046066,-7.195139236071309
Bragança,35.425,41.5084468,-6.773302360533066
Beja,33.838,38.0154479,-7.8650368
Portalegre,21.914,39.2076447,-7.721513354015343
